ID,Year_Birth,Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts
1915,1960,PhD,Married,78939,794,115,243
4303,1960,PhD,Together,6835,107,2,12
6825,1960,Graduation,Together,41452,13,0,3
4964,1960,PhD,Together,74250,680,11,392
2461,1960,Master,Single,51124,26,1,11
1135,1960,Master,Together,17144,18,2,19
10446,1960,PhD,Married,82017,184,23,446
6722,1960,PhD,Married,70421,479,28,136
236,1960,Graduation,Married,34838,28,23,29
3483,1960,Graduation,Married,48192,1039,43,204
7352,1960,Graduation,Married,55267,161,28,136
3732,1960,Master,Married,52750,393,0,239
7462,1960,Graduation,Single,22507,68,0,226
5536,1960,Graduation,Together,87771,1492,38,287
9499,1960,Graduation,Married,93404,1279,15,287
9904,1960,Graduation,Married,71391,336,123,274
5332,1960,2n Cycle,Married,82504,362,50,431
5935,1960,Master,Single,55284,547,7,140
9477,1960,PhD,Married,65324,384,0,102
4856,1960,2n Cycle,Married,82347,556,54,845
9353,1960,Graduation,Single,62450,515,47,267
4789,1960,Graduation,Together,80812,769,22,500
1446,1960,Master,Single,86424,387,68,569
7023,1960,PhD,Single,46231,189,2,55
8086,1960,Graduation,Married,42243,48,0,2
5519,1960,Graduation,Together,64090,316,58,161
8624,1960,Graduation,Married,81320,183,33,493
9308,1960,Graduation,Married,62820,398,61,265
10505,1960,Master,Together,73113,741,19,154
2625,1960,2n Cycle,Single,42607,156,29,56
4637,1960,PhD,Single,74637,960,64,464
9972,1960,PhD,Together,46015,38,0,2
7922,1960,PhD,Single,64950,819,0,72
4843,1960,Graduation,Single,75127,203,35,305
8957,1960,2n Cycle,Single,64831,480,86,249
5386,1960,Graduation,Together,94384,1111,24,790
2134,1960,Graduation,Single,53700,263,5,233
7801,1960,Graduation,Together,54753,197,107,227
2611,1960,Master,Together,82576,1206,55,445
3308,1960,Graduation,Married,35704,30,9,12
5407,1960,Graduation,Together,53103,729,17,133
11188,1960,Graduation,Together,26091,15,10,19
6374,1960,PhD,Married,36930,223,2,31
7453,1960,Graduation,Single,36130,157,43,127
8952,1960,Master,Married,65569,397,46,288
241,1960,Graduation,Together,83844,901,31,345
10634,1960,Master,Married,59412,90,67,165
6059,1960,PhD,Together,64504,986,36,168
10613,1960,PhD,Together,37334,26,1,16
5863,1960,Graduation,Married,47703,359,0,134
3717,1960,Graduation,Married,61180,403,24,29
6730,1960,Graduation,Married,38998,34,1,14
4002,1960,PhD,Married,77037,463,96,333
8104,1960,PhD,Married,53312,241,0,12
4507,1960,Graduation,Single,72228,631,28,491
3759,1960,Graduation,Together,65196,743,19,181
3807,1960,Graduation,Together,59925,473,21,176
9197,1960,Graduation,Married,39722,32,0,5
10832,1960,Graduation,Together,46610,288,10,30
8707,1960,Graduation,Married,79456,565,42,548
1509,1960,PhD,Together,84460,152,27,103
7348,1960,PhD,Single,71691,336,130,411
4944,1960,Graduation,Together,71367,227,23,389
146,1960,PhD,Single,76045,760,53,400
6271,1960,PhD,Married,50870,53,0,8
7451,1960,Master,Single,98777,1000,19,711
2308,1960,Graduation,Married,46734,110,5,137
3412,1960,Master,Married,67381,815,8,53
849,1960,Master,Together,56129,320,48,133
5430,1960,Graduation,Together,54450,454,0,171
7755,1960,PhD,Married,57744,350,3,39
2613,1960,Master,Married,54197,162,6,37
640,1960,Graduation,Married,57304,356,80,329
8432,1960,Graduation,Together,54450,454,0,171
10660,1960,Master,Married,66726,349,7,35
1604,1960,Master,Married,47353,184,2,19
5907,1960,Master,Married,33444,8,0,8
8387,1960,Graduation,Married,43140,134,8,76
3839,1960,Basic,Single,15056,6,12,3
9855,1960,PhD,Single,62000,899,0,101
3515,1960,Graduation,Single,62307,87,13,34
9500,1960,Graduation,Married,58113,221,104,169
3602,1960,Master,Married,51412,140,3,29
2995,1960,Master,Together,66636,291,10,689
1118,1960,Master,Married,50965,544,13,85
8955,1960,PhD,Together,40451,35,0,4
5644,1960,Graduation,Together,42213,309,3,24
7192,1960,Graduation,Together,65748,172,73,93
257,1960,PhD,Married,75032,952,12,180
4058,1960,PhD,Single,61284,618,15,106
833,1960,Master,Married,38452,56,0,14
4174,1960,Master,Together,55249,97,1,19
286,1960,Graduation,Single,44213,95,11,35
8534,1960,Graduation,Married,67433,615,28,259
9094,1960,2n Cycle,Married,62972,313,15,47
8147,1960,Graduation,Married,31454,28,0,11
1857,1960,Graduation,Single,47139,46,0,12
9400,1960,2n Cycle,Single,85485,630,26,611
679,1960,PhD,Married,37633,13,4,20
7384,1960,Master,Together,39767,113,61,204
5043,1960,Basic,Married,26997,7,23,78
4808,1960,Graduation,Married,15759,1,2,5
3551,1960,Master,Together,60033,62,1,57
6024,1960,Graduation,Together,94384,1111,24,790
4603,1960,PhD,Married,65695,371,32,189
8427,1960,Master,Single,64857,556,14,717
7143,1960,2n Cycle,Together,74805,209,162,209
1650,1960,Master,Married,81843,779,86,537
10377,1960,Master,Together,46692,170,6,97
10390,1960,2n Cycle,Married,26887,6,7,4
10590,1960,PhD,Together,76542,794,73,573
2674,1960,Master,Single,75154,543,10,205
10476,1960,Graduation,Married,67267,134,11,59
9140,1960,2n Cycle,Together,50523,51,4,24
8805,1960,Graduation,Single,48904,283,10,38
7514,1960,2n Cycle,Together,54342,84,10,34
2902,1960,Graduation,Together,,19,4,12
4405,1960,Master,Married,63915,622,7,115
2534,1960,Graduation,Married,37716,97,1,41
4188,1960,Graduation,Single,36864,204,5,39
5491,1960,Master,Together,47352,172,12,112
8402,1960,Master,Married,67087,329,35,222
4086,1960,Graduation,Married,18690,6,1,7
8418,1960,2n Cycle,Single,38741,7,10,17
5967,1960,Graduation,Together,33402,26,2,19
4682,1960,Graduation,Married,51876,99,27,102
5221,1960,Graduation,Married,52852,714,8,99
6246,1960,Graduation,Single,73892,703,102,601
9483,1960,Graduation,Together,57957,290,59,177
2945,1960,PhD,Together,46015,38,0,2
4690,1960,Graduation,Married,50725,443,10,75
7521,1960,Graduation,Together,83844,901,31,345
25,1960,Graduation,Married,65148,460,35,422
3697,1960,Graduation,Together,39898,69,8,26
217,1960,Master,Single,64857,556,14,717
7787,1960,Graduation,Together,62807,526,28,135
9743,1960,Graduation,Married,76998,1449,89,161
10770,1960,Graduation,Married,65492,247,161,295
9463,1960,Graduation,Together,71706,931,56,253
3584,1960,PhD,Single,49667,1181,26,120
10128,1960,Graduation,Together,53977,620,16,165
7998,1960,Graduation,Together,28087,53,8,17
3536,1960,Graduation,Together,19740,7,11,3
125,1960,2n Cycle,Together,53083,215,7,33
73,1960,PhD,Single,51411,14,0,3
8091,1960,Graduation,Married,63943,423,184,368
1497,1960,Graduation,Single,47958,268,11,88
4390,1960,Graduation,Together,75315,459,15,171
1081,1960,PhD,Married,75283,733,9,180
9916,1960,Graduation,Married,38998,34,1,14
4967,1960,PhD,Together,38201,233,0,23
3790,1960,Graduation,Together,34633,8,1,5
4764,1960,Master,Together,40442,45,12,52
5185,1960,Graduation,Married,74268,199,66,315
24,1960,Master,Together,17144,18,2,19
5453,1960,Master,Married,90226,1083,108,649
800,1960,Graduation,Together,44512,23,1,6
3298,1960,Master,Married,52973,856,0,76
6097,1960,Graduation,Single,50664,313,8,104
7408,1960,PhD,Married,54549,216,2,6
3783,1960,PhD,Married,52854,105,0,10
3427,1960,PhD,Married,59821,629,0,70
2285,1960,Master,Together,36634,213,9,76
2295,1960,PhD,Married,62670,539,30,92
1165,1960,PhD,Single,50729,239,13,143
7327,1960,PhD,Married,36732,21,5,3
1964,1960,Graduation,Together,86610,446,107,768
3433,1960,2n Cycle,Married,72635,390,22,323
2156,1960,PhD,Married,22554,27,0,10
10323,1960,Graduation,Married,49413,205,7,41
7397,1960,Graduation,Single,49090,494,5,82
3565,1960,Master,Married,38452,56,0,14
1351,1960,Master,Together,58656,962,12,194
7832,1960,Master,Married,77520,940,44,396
10091,1960,Graduation,Single,60230,520,20,367
10905,1960,Graduation,Together,42586,194,2,56
3828,1960,Graduation,Married,71107,533,10,217
10304,1960,Graduation,Married,18690,6,1,7
2499,1960,2n Cycle,Single,75342,204,97,97
10556,1960,Graduation,Married,54984,173,13,131
9292,1960,Graduation,Married,81795,324,132,693
5247,1960,PhD,Married,38725,31,0,6
9167,1960,Graduation,Married,67131,465,71,250
8584,1960,PhD,Together,85431,376,53,462
8910,1960,Graduation,Together,42586,194,2,56
10678,1960,Graduation,Together,71232,653,17,170
9905,1960,Graduation,Together,34074,135,1,41
10691,1960,Master,Married,28520,11,0,10
7002,1960,Graduation,Single,62535,163,48,90
6289,1960,Master,Together,59385,135,0,10
8397,1960,Graduation,Married,44689,18,0,5
9284,1960,Graduation,Together,53977,620,16,165
1619,1960,Graduation,Married,90369,292,51,981
10057,1960,Graduation,Single,72282,503,27,419
10307,1960,Graduation,Married,50387,369,9,87
4687,1960,Master,Married,80739,674,92,736
9860,1960,Graduation,Together,44911,159,0,22
332,1960,Graduation,Married,47743,198,2,43
9847,1960,2n Cycle,Married,62972,313,15,47
3170,1960,Master,Together,68148,389,66,408
6710,1960,Master,Single,58217,68,1,13
1399,1960,Graduation,Married,72905,407,114,445
1570,1960,PhD,Together,69702,664,9,240
7505,1960,PhD,Married,44155,22,1,9
5558,1960,PhD,Single,90933,1020,31,430
544,1960,Graduation,Married,62820,398,61,265
3265,1960,Graduation,Married,35701,21,1,9
5832,1960,2n Cycle,Together,92556,493,183,352
3138,1960,Graduation,Single,91249,1324,27,119
7966,1960,Graduation,Single,80982,505,137,401
1867,1960,Graduation,Single,64849,652,48,350
6200,1960,Graduation,Married,75903,340,108,185
4827,1960,PhD,Single,54998,154,22,202
9291,1960,Master,Married,34242,8,2,4
9955,1960,Graduation,Together,39898,69,8,26
3434,1960,Graduation,Single,80872,483,72,567
10448,1960,Graduation,Single,46998,172,41,86
3517,1960,Graduation,Single,40887,50,4,44
3334,1960,Graduation,Married,94642,879,143,797
8619,1960,Graduation,Together,21994,9,0,6
9797,1960,Graduation,Married,58116,228,19,130
10164,1960,Graduation,Single,94472,1017,33,417
4547,1960,Graduation,Together,13672,6,2,9
3262,1960,Graduation,Single,68281,995,112,417
4954,1960,Graduation,Married,48195,106,27,68
7861,1960,Master,Married,77027,820,57,242
3799,1960,Graduation,Married,67225,315,35,322
5872,1960,Graduation,Single,60689,240,90,216
4268,1960,Graduation,Married,53154,129,0,21
626,1960,Graduation,Married,32871,22,2,12
10509,1960,Master,Single,36927,51,0,16
6382,1960,Graduation,Together,48794,25,0,11
7899,1960,PhD,Married,77610,1245,33,332
2712,1960,Graduation,Married,71866,184,178,178
10339,1960,Master,Together,,161,0,22
3117,1960,Graduation,Single,,264,0,21
6497,1960,Graduation,Married,51651,293,6,23
6343,1960,Graduation,Married,79823,835,73,380
975,1960,Graduation,Single,54252,178,4,26
11091,1960,Graduation,Together,34587,7,2,9
1916,1960,Master,Married,45736,188,3,180
8659,1960,PhD,Together,69805,750,71,174
4915,1960,2n Cycle,Married,53230,176,72,98
2115,1960,Graduation,Together,50116,54,0,10
9727,1960,Graduation,Married,23539,4,24,11
9790,1960,Graduation,Single,78499,912,72,170
1100,1960,Master,Together,41275,24,4,22
6950,1960,Master,Married,49572,35,1,16
5186,1960,PhD,Married,58482,576,7,115
977,1960,Graduation,Together,47320,200,19,111
6721,1960,Graduation,Married,71965,572,19,286
2829,1960,Graduation,Married,65210,626,0,70
4541,1960,Graduation,Together,38946,116,6,82
8207,1960,2n Cycle,Married,53233,28,0,9
9723,1960,Graduation,Married,67716,530,142,217
5721,1960,PhD,Married,84117,611,76,749
10652,1960,Master,Together,65487,240,67,500
8722,1960,2n Cycle,Married,82347,556,54,845
7118,1960,Graduation,Married,73803,833,80,363
2980,1960,Master,Single,8820,12,0,13
2632,1960,Graduation,Married,50501,297,0,38
4333,1960,Graduation,Together,32144,41,0,10
692,1960,Graduation,Together,36807,4,2,5
8235,1960,Master,Together,69245,428,30,214
9405,1960,PhD,Married,52869,84,3,61
