State,Customer Lifetime Value,Coverage,Education,EmploymentStatus,Gender,Income,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Policies,Policy Type,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
Arizona,9420.965855,Basic,Bachelor,Employed,F,47048,Married,118,0,37,3,Personal Auto,Offer4,Call Center,566.4,SUV,Medsize
Arizona,14514.00519,Basic,College,Employed,F,88753,Single,181,6,21,3,Personal Auto,Offer1,Agent,868.8,Luxury SUV,Small
Washington,2719.506996,Basic,College,Retired,F,14030,Married,72,11,3,1,Personal Auto,Offer2,Branch,345.6,Two-Door Car,Large
Nevada,5442.744248,Basic,Doctor,Employed,F,25884,Married,69,18,36,9,Personal Auto,Offer2,Branch,292.274846,Four-Door Car,Medsize
Nevada,4376.363592,Premium,Bachelor,Employed,F,63774,Divorced,111,18,63,1,Personal Auto,Offer2,Agent,60.036683,Four-Door Car,Medsize
California,5938.511892,Basic,Doctor,Employed,F,44190,Married,74,17,40,3,Corporate Auto,Offer2,Branch,10.68564,Four-Door Car,Medsize
Nevada,15277.47796,Basic,Bachelor,Employed,F,38183,Married,191,21,14,8,Personal Auto,Offer1,Branch,981.010879,Luxury Car,Medsize
Nevada,7154.094304,Basic,Bachelor,Employed,F,28204,Married,182,30,84,1,Personal Auto,Offer2,Branch,532.089467,Luxury Car,Medsize
California,10014.02955,Extended,Bachelor,Employed,F,74489,Married,124,11,36,3,Special Auto,Offer3,Branch,128.535182,SUV,Medsize
Arizona,14040.96476,Basic,Bachelor,Unemployed,F,0,Married,195,9,33,5,Personal Auto,Offer1,Web,669.037562,Luxury SUV,Small
California,14635.45158,Extended,Bachelor,Unemployed,F,0,Divorced,139,5,56,2,Corporate Auto,Offer1,Call Center,667.2,SUV,Medsize
California,5107.163002,Basic,Bachelor,Employed,F,35625,Married,65,10,56,3,Personal Auto,Offer2,Agent,288.572108,Four-Door Car,Medsize
Arizona,5365.93282,Basic,College,Employed,F,62808,Married,66,33,37,4,Special Auto,Offer3,Branch,211.515893,Two-Door Car,Medsize
California,5505.167392,Basic,College,Retired,F,15648,Married,73,29,68,5,Special Auto,Offer2,Agent,413.269261,Two-Door Car,Medsize
California,4334.064096,Extended,Bachelor,Retired,F,23904,Single,123,1,67,1,Corporate Auto,Offer1,Agent,590.4,SUV,Medsize
California,6265.343299,Extended,Doctor,Unemployed,F,0,Married,84,18,25,4,Personal Auto,Offer1,Agent,481.025786,Four-Door Car,Medsize
California,5575.198201,Basic,College,Medical Leave,F,18892,Married,73,33,76,5,Personal Auto,Offer1,Web,106.814987,Four-Door Car,Medsize
Arizona,7462.926263,Extended,College,Employed,F,70263,Married,93,30,66,5,Corporate Auto,Offer2,Call Center,7.345946,Two-Door Car,Small
California,9031.214859,Extended,Master,Unemployed,F,0,Single,122,15,47,9,Corporate Auto,Offer1,Branch,650.52179,Sports Car,Medsize
Nevada,7406.882612,Basic,Bachelor,Employed,F,38169,Married,62,18,82,2,Corporate Auto,Offer1,Branch,71.678412,Four-Door Car,Medsize
Arizona,10719.08467,Extended,College,Employed,F,86036,Divorced,90,8,20,2,Personal Auto,Offer1,Web,501.26513,Four-Door Car,Medsize
Washington,3721.390713,Basic,College,Unemployed,F,0,Single,101,16,59,1,Personal Auto,Offer1,Agent,862.49778,SUV,Medsize
California,11955.39598,Extended,College,Employed,F,71587,Married,99,1,74,2,Personal Auto,Offer1,Agent,133.103003,Two-Door Car,Medsize
California,8072.245595,Basic,Bachelor,Employed,F,57938,Married,101,6,36,3,Special Auto,Offer3,Branch,282.458203,SUV,Large
Arizona,3241.588659,Extended,Bachelor,Employed,F,89196,Divorced,81,17,52,1,Personal Auto,Offer1,Agent,41.182611,Four-Door Car,Small
California,6925.182046,Extended,Bachelor,Employed,F,88893,Married,86,5,63,9,Personal Auto,Offer2,Call Center,72.86746,Four-Door Car,Small
Arizona,2885.407442,Basic,Bachelor,Employed,F,92722,Married,72,34,45,1,Corporate Auto,Offer2,Call Center,28.126402,Two-Door Car,Small
Arizona,5416.413581,Basic,Bachelor,Employed,F,53249,Married,67,32,10,3,Personal Auto,Offer2,Web,343.340361,Four-Door Car,Large
California,3979.718986,Extended,Bachelor,Employed,F,96413,Married,99,3,78,1,Personal Auto,Offer3,Web,560.045764,Four-Door Car,Small
California,3816.408655,Extended,College,Employed,F,82414,Divorced,95,10,85,1,Personal Auto,Offer4,Branch,30.423443,Four-Door Car,Large
California,7480.713618,Basic,Bachelor,Employed,F,52513,Married,65,0,76,2,Personal Auto,Offer3,Web,91.244938,Two-Door Car,Medsize
California,4792.509792,Basic,College,Disabled,F,20181,Married,66,8,66,3,Personal Auto,Offer1,Agent,316.8,Four-Door Car,Medsize
Arizona,17441.6378,Extended,College,Employed,F,80969,Married,217,1,80,3,Personal Auto,Offer4,Web,1041.6,Luxury SUV,Small
Arizona,3694.14876,Extended,Bachelor,Employed,F,87485,Divorced,92,12,57,1,Personal Auto,Offer3,Branch,441.6,Four-Door Car,Medsize
Washington,9521.676094,Basic,Bachelor,Employed,F,74583,Married,118,31,20,4,Personal Auto,Offer1,Agent,161.210468,SUV,Medsize
California,2359.423599,Basic,Bachelor,Disabled,F,19864,Divorced,63,22,96,1,Personal Auto,Offer1,Web,352.394515,Four-Door Car,Medsize
Nevada,3445.86241,Extended,Bachelor,Unemployed,F,0,Divorced,94,33,95,1,Corporate Auto,Offer1,Web,590.626396,Four-Door Car,Small
Washington,20067.40315,Premium,Bachelor,Employed,F,85165,Single,101,8,81,2,Personal Auto,Offer1,Branch,384.31404,Four-Door Car,Medsize
California,4171.300175,Basic,Bachelor,Employed,F,36723,Married,106,13,18,1,Personal Auto,Offer2,Agent,580.091966,SUV,Medsize
California,4967.544169,Basic,College,Employed,F,28524,Married,62,26,45,9,Personal Auto,Offer2,Web,297.6,Four-Door Car,Medsize
California,5963.174005,Basic,Bachelor,Employed,F,87020,Married,74,6,84,8,Personal Auto,Offer2,Web,331.116399,Four-Door Car,Small
Arizona,5070.227097,Basic,Doctor,Unemployed,F,0,Divorced,69,8,24,6,Personal Auto,Offer4,Agent,331.2,Four-Door Car,Small
California,2396.219292,Basic,Bachelor,Unemployed,F,0,Married,66,6,71,1,Corporate Auto,Offer2,Call Center,433.160284,Four-Door Car,Large
Washington,14413.37774,Basic,College,Employed,F,56457,Single,73,27,68,2,Personal Auto,Offer3,Web,138.460771,Four-Door Car,Large
Arizona,5217.513287,Basic,Bachelor,Employed,F,39854,Divorced,66,6,4,7,Personal Auto,Offer2,Web,261.930545,Two-Door Car,Medsize
California,2363.295991,Basic,Bachelor,Employed,F,27839,Married,65,20,54,1,Personal Auto,Offer3,Agent,312,Two-Door Car,Small
California,5391.775844,Basic,College,Employed,F,63633,Married,68,16,21,8,Corporate Auto,Offer2,Agent,374.024077,Two-Door Car,Medsize
Arizona,5316.7566,Basic,College,Employed,F,28559,Married,66,5,1,5,Corporate Auto,Offer4,Call Center,427.242973,Four-Door Car,Medsize
California,2594.905944,Basic,College,Retired,F,25925,Married,72,5,85,1,Corporate Auto,Offer2,Web,660.587577,Two-Door Car,Small
Arizona,10546.65545,Extended,Master,Employed,F,43922,Married,88,26,88,2,Personal Auto,Offer2,Web,108.701381,Four-Door Car,Medsize
Nevada,8388.717011,Basic,Bachelor,Employed,F,87123,Married,69,13,87,2,Corporate Auto,Offer1,Agent,118.468275,Four-Door Car,Large
California,10960.93667,Extended,College,Employed,F,29815,Single,95,35,18,2,Personal Auto,Offer4,Agent,76.175672,Four-Door Car,Medsize
Washington,5083.789524,Basic,Bachelor,Employed,F,62088,Married,64,6,28,4,Corporate Auto,Offer1,Agent,73.258034,Two-Door Car,Medsize
Nevada,9031.214859,Extended,Master,Unemployed,F,0,Single,122,15,47,9,Personal Auto,Offer1,Branch,650.52179,Sports Car,Medsize
California,7714.623619,Basic,College,Unemployed,F,0,Single,106,3,90,8,Personal Auto,Offer2,Agent,763.2,Sports Car,Medsize
California,5119.901412,Basic,Bachelor,Employed,F,26890,Married,65,28,37,4,Personal Auto,Offer2,Branch,312,Two-Door Car,Small
California,5656.203464,Basic,Bachelor,Employed,F,45586,Divorced,72,17,20,4,Personal Auto,Offer1,Branch,203.42306,Four-Door Car,Medsize
California,3409.677392,Extended,Bachelor,Employed,F,85023,Married,85,4,69,1,Personal Auto,Offer2,Agent,408,Four-Door Car,Medsize
Arizona,4991.035369,Basic,College,Employed,F,54189,Married,62,11,84,3,Personal Auto,Offer1,Agent,29.035528,Two-Door Car,Medsize
Washington,7618.442045,Basic,College,Employed,F,41900,Married,63,0,34,2,Corporate Auto,Offer2,Web,170.496071,Four-Door Car,Large
Washington,5096.700181,Basic,College,Employed,F,27940,Married,65,21,3,4,Personal Auto,Offer2,Agent,27.66775,Two-Door Car,Medsize
Arizona,15042.57658,Premium,Bachelor,Employed,F,22799,Married,190,10,75,6,Corporate Auto,Offer2,Branch,912,SUV,Medsize
California,3791.549972,Extended,College,Employed,F,41212,Married,95,13,27,1,Personal Auto,Offer4,Web,405.443681,Four-Door Car,Medsize
California,4605.036646,Basic,College,Medical Leave,F,22571,Single,63,29,51,9,Personal Auto,Offer2,Web,302.4,Four-Door Car,Large
Washington,15374.18296,Extended,Bachelor,Employed,F,42570,Married,128,5,52,2,Personal Auto,Offer2,Agent,587.409205,SUV,Large
Arizona,2504.871709,Basic,Bachelor,Employed,F,66081,Single,64,31,92,1,Personal Auto,Offer1,Branch,42.029731,Four-Door Car,Small
Arizona,9560.049227,Extended,Doctor,Disabled,F,19429,Married,122,18,21,9,Special Auto,Offer1,Branch,683.45551,SUV,Small
California,6756.062791,Extended,Bachelor,Employed,F,46879,Married,86,3,62,3,Personal Auto,Offer1,Agent,324.944098,Four-Door Car,Medsize
Arizona,2853.600347,Basic,Doctor,Employed,F,87455,Divorced,71,10,46,1,Corporate Auto,Offer2,Call Center,329.238904,Four-Door Car,Medsize
Arizona,5324.38786,Basic,Bachelor,Employed,F,31561,Divorced,68,8,62,7,Personal Auto,Offer3,Web,326.4,Four-Door Car,Medsize
Arizona,2862.729074,Basic,Doctor,Employed,F,64640,Divorced,73,5,94,1,Personal Auto,Offer3,Agent,327.912134,Four-Door Car,Medsize
California,8614.686004,Basic,Master,Employed,F,64220,Married,107,3,86,7,Personal Auto,Offer1,Branch,48.782626,SUV,Medsize
California,3274.037562,Extended,College,Employed,F,83869,Married,81,10,23,1,Personal Auto,Offer1,Agent,348.186032,Four-Door Car,Medsize
Washington,3690.698916,Extended,Bachelor,Employed,F,59016,Married,92,3,65,1,Corporate Auto,Offer2,Web,441.6,Four-Door Car,Medsize
California,2776.772734,Basic,College,Employed,F,70793,Married,69,32,1,1,Personal Auto,Offer2,Web,62.625841,Four-Door Car,Large
Washington,4177.666255,Basic,Master,Employed,F,29133,Married,104,27,76,1,Personal Auto,Offer2,Branch,499.2,Sports Car,Medsize
California,20930.05217,Basic,College,Employed,F,30535,Married,66,22,18,2,Personal Auto,Offer2,Call Center,94.142294,Four-Door Car,Small
Nevada,18745.39592,Extended,Master,Medical Leave,F,27229,Single,99,20,9,2,Personal Auto,Offer3,Agent,475.2,Four-Door Car,Small
California,5871.607022,Extended,Bachelor,Unemployed,F,0,Single,80,24,20,7,Corporate Auto,Offer1,Call Center,871.055266,Four-Door Car,Medsize
Arizona,5453.709172,Basic,Master,Employed,F,69468,Married,67,2,3,3,Personal Auto,Offer2,Call Center,302.733593,Four-Door Car,Medsize
California,6672.05628,Premium,College,Employed,F,50537,Married,165,10,35,1,Personal Auto,Offer1,Branch,60.005031,SUV,Medsize
California,4626.801093,Basic,Master,Employed,F,79487,Divorced,114,20,87,1,Personal Auto,Offer2,Branch,547.2,SUV,Medsize
California,6265.343299,Extended,Doctor,Unemployed,F,0,Married,84,18,25,4,Personal Auto,Offer1,Agent,481.025786,Four-Door Car,Medsize
Arizona,5349.996572,Basic,College,Employed,F,89158,Single,67,34,71,6,Personal Auto,Offer1,Branch,272.195232,Four-Door Car,Medsize
Arizona,5895.106386,Basic,College,Employed,F,78352,Divorced,74,33,3,7,Personal Auto,Offer4,Web,152.365482,Two-Door Car,Medsize
California,3837.615029,Basic,Bachelor,Unemployed,F,0,Married,106,15,30,1,Personal Auto,Offer3,Agent,117.229971,SUV,Medsize
Washington,4911.115538,Basic,College,Employed,F,33700,Married,62,26,72,3,Corporate Auto,Offer1,Agent,274.114843,Four-Door Car,Medsize
Arizona,7751.855026,Basic,College,Unemployed,F,0,Single,105,14,21,7,Personal Auto,Offer2,Agent,756,SUV,Large
California,25464.82059,Extended,College,Retired,F,13663,Single,97,1,66,2,Personal Auto,Offer1,Branch,465.6,Four-Door Car,Small
Arizona,5926.957452,Extended,College,Unemployed,F,0,Married,84,19,26,4,Personal Auto,Offer1,Branch,403.2,Four-Door Car,Medsize
Arizona,8675.993821,Basic,College,Employed,F,65933,Married,108,23,16,5,Personal Auto,Offer3,Call Center,379.951464,SUV,Medsize
California,15860.03591,Extended,Master,Unemployed,F,0,Married,136,10,41,2,Personal Auto,Offer1,Branch,46.098963,SUV,Small
California,5498.753121,Extended,Bachelor,Employed,F,60668,Married,138,18,92,1,Personal Auto,Offer3,Branch,553.699596,SUV,Medsize
California,2503.603127,Basic,Bachelor,Employed,F,47285,Married,63,7,3,1,Personal Auto,Offer4,Call Center,302.4,Four-Door Car,Medsize
Nevada,2396.672304,Basic,College,Medical Leave,F,26222,Married,62,23,18,1,Personal Auto,Offer1,Branch,297.6,Four-Door Car,Medsize
Washington,27929.96441,Extended,College,Employed,F,88105,Married,86,5,26,2,Personal Auto,Offer1,Agent,412.8,Four-Door Car,Medsize
Nevada,10856.01489,Extended,Doctor,Employed,F,59803,Married,90,21,0,2,Corporate Auto,Offer2,Agent,22.75546,Two-Door Car,Medsize
California,5028.739297,Basic,College,Unemployed,F,0,Married,67,21,60,5,Personal Auto,Offer4,Web,216.196521,Four-Door Car,Medsize
Arizona,41103.24183,Premium,College,Employed,F,30845,Married,116,3,89,2,Personal Auto,Offer1,Branch,556.8,Four-Door Car,Medsize
California,4334.064096,Extended,Bachelor,Retired,F,23904,Single,123,1,67,1,Personal Auto,Offer1,Agent,590.4,SUV,Medsize
Nevada,30081.36783,Basic,Bachelor,Employed,F,24626,Married,108,19,3,2,Personal Auto,Offer1,Call Center,225.971279,SUV,Medsize
California,3745.374656,Extended,College,Employed,F,59732,Married,94,0,54,1,Corporate Auto,Offer4,Branch,135.626867,Four-Door Car,Medsize
Arizona,2396.219292,Basic,Bachelor,Unemployed,F,0,Married,66,6,71,1,Corporate Auto,Offer2,Call Center,433.160284,Four-Door Car,Large
California,5146.898635,Basic,College,Employed,F,93752,Divorced,64,34,24,3,Corporate Auto,Offer4,Call Center,154.713524,Four-Door Car,Large
Washington,3580.261881,Extended,College,Employed,F,75333,Married,90,15,44,1,Personal Auto,Offer2,Web,289.236063,Four-Door Car,Small
Nevada,5821.128509,Basic,Bachelor,Employed,F,61108,Married,72,27,84,6,Personal Auto,Offer2,Agent,23.773332,Four-Door Car,Medsize
Nevada,4515.445404,Premium,Bachelor,Employed,F,21500,Divorced,115,14,44,1,Corporate Auto,Offer3,Agent,39.292196,Four-Door Car,Medsize
California,6712.294021,Extended,Bachelor,Employed,F,44891,Married,83,12,75,6,Personal Auto,Offer3,Call Center,74.803791,Four-Door Car,Medsize
Arizona,4376.363592,Premium,Bachelor,Employed,F,63774,Divorced,111,18,63,1,Personal Auto,Offer2,Agent,60.036683,Four-Door Car,Medsize
Nevada,8640.753192,Basic,Bachelor,Employed,F,33402,Married,109,7,66,4,Personal Auto,Offer1,Web,71.053011,SUV,Small
California,4460.418492,Basic,College,Unemployed,F,0,Divorced,65,24,45,4,Corporate Auto,Offer3,Branch,312,Four-Door Car,Small
California,6798.272436,Extended,College,Employed,F,32517,Single,94,11,53,3,Special Auto,Offer1,Branch,451.2,Four-Door Car,Small
Arizona,5219.886414,Basic,Bachelor,Employed,F,64964,Single,66,9,84,5,Personal Auto,Offer3,Call Center,286.967405,Four-Door Car,Medsize
Nevada,6140.242989,Extended,College,Employed,F,34112,Married,77,32,68,6,Personal Auto,Offer2,Branch,369.6,Four-Door Car,Small
Arizona,3756.63877,Basic,College,Unemployed,F,0,Married,108,32,49,1,Personal Auto,Offer2,Agent,718.383,SUV,Medsize
California,32725.2974,Extended,Master,Employed,F,39894,Married,134,23,87,2,Corporate Auto,Offer3,Branch,411.077415,SUV,Medsize
Arizona,5181.054467,Basic,College,Unemployed,F,0,Married,70,4,64,7,Personal Auto,Offer1,Branch,336,Four-Door Car,Large
Arizona,2417.777032,Basic,Master,Employed,F,20200,Single,65,3,51,1,Personal Auto,Offer2,Agent,312,Two-Door Car,Medsize
California,5251.152281,Basic,Bachelor,Unemployed,F,0,Married,72,21,65,3,Personal Auto,Offer2,Web,345.6,Four-Door Car,Medsize
Arizona,7148.331333,Basic,Bachelor,Employed,F,51791,Married,181,10,46,1,Personal Auto,Offer4,Call Center,422.960234,Luxury Car,Medsize
California,2902.622439,Basic,College,Employed,F,23893,Married,73,19,21,1,Personal Auto,Offer2,Agent,186.292275,Four-Door Car,Medsize
Nevada,4413.285858,Basic,College,Employed,F,37697,Married,112,35,8,1,Personal Auto,Offer4,Agent,38.403843,SUV,Small
Washington,7462.926263,Extended,College,Employed,F,70263,Married,93,30,66,5,Personal Auto,Offer2,Call Center,7.345946,Two-Door Car,Small
California,5503.440723,Basic,Bachelor,Employed,F,76839,Married,68,12,85,3,Personal Auto,Offer1,Call Center,326.4,Four-Door Car,Medsize
California,4739.34663,Premium,Bachelor,Employed,F,49447,Married,119,9,48,1,Personal Auto,Offer1,Branch,762.007253,Four-Door Car,Medsize
Washington,3355.528168,Extended,College,Employed,F,46644,Married,84,34,19,1,Personal Auto,Offer3,Agent,150.688024,Four-Door Car,Medsize
California,2874.08847,Basic,Master,Employed,F,33462,Married,72,12,9,1,Personal Auto,Offer2,Branch,112.425578,Four-Door Car,Medsize
California,9031.214859,Extended,Master,Unemployed,F,0,Single,122,15,47,9,Personal Auto,Offer1,Branch,650.52179,Sports Car,Medsize
California,9429.080755,Extended,College,Employed,F,75638,Divorced,83,6,52,2,Personal Auto,Offer4,Agent,108.69654,Four-Door Car,Medsize
California,7613.049819,Basic,Bachelor,Disabled,F,24982,Married,109,20,52,7,Personal Auto,Offer1,Web,523.2,SUV,Medsize
Arizona,7317.014254,Basic,College,Employed,F,24083,Divorced,63,22,2,2,Personal Auto,Offer1,Agent,340.453606,Four-Door Car,Small
California,17006.00256,Basic,Bachelor,Employed,F,58620,Married,71,11,51,2,Corporate Auto,Offer3,Call Center,340.8,Four-Door Car,Medsize
Nevada,3589.372361,Extended,College,Employed,F,30944,Divorced,92,15,46,1,Personal Auto,Offer1,Web,348.216284,Four-Door Car,Small
Nevada,7380.570445,Basic,Bachelor,Employed,F,53957,Married,184,19,80,1,Corporate Auto,Offer1,Branch,61.554272,Luxury SUV,Medsize
California,17526.17908,Extended,Bachelor,Employed,F,52228,Married,220,29,72,8,Personal Auto,Offer3,Agent,1056,Luxury SUV,Medsize
Washington,11196.46002,Premium,Bachelor,Unemployed,F,0,Married,298,26,94,1,Personal Auto,Offer1,Branch,2145.6,Luxury Car,Medsize
California,12840.43291,Extended,College,Unemployed,F,0,Single,90,1,94,2,Personal Auto,Offer1,Call Center,648,Two-Door Car,Large
California,8343.751519,Basic,College,Employed,F,64127,Single,71,31,19,2,Personal Auto,Offer4,Branch,72.862304,Four-Door Car,Medsize
Washington,13759.14695,Extended,Bachelor,Retired,F,16794,Single,96,7,31,2,Personal Auto,Offer1,Branch,460.8,Four-Door Car,Medsize
California,2516.213745,Basic,Bachelor,Employed,F,48829,Single,64,23,70,1,Personal Auto,Offer1,Agent,300.312635,Four-Door Car,Medsize
California,3571.34607,Extended,Doctor,Employed,F,73853,Single,89,7,35,1,Personal Auto,Offer2,Agent,427.2,Four-Door Car,Small
Washington,4526.52638,Basic,Bachelor,Unemployed,F,0,Single,68,20,44,7,Personal Auto,Offer2,Agent,326.4,Four-Door Car,Medsize
Arizona,5310.861767,Basic,College,Unemployed,F,0,Married,72,17,11,3,Personal Auto,Offer1,Branch,345.6,Four-Door Car,Small
Arizona,5874.820212,Basic,College,Employed,F,35301,Married,74,23,68,7,Personal Auto,Offer1,Agent,128.643975,Four-Door Car,Medsize
California,8579.889155,Basic,College,Disabled,F,21829,Divorced,111,6,59,3,Personal Auto,Offer2,Call Center,532.8,Sports Car,Medsize
Washington,8903.966435,Premium,Bachelor,Medical Leave,F,15142,Married,116,7,5,3,Personal Auto,Offer2,Branch,792.609747,Two-Door Car,Small
Arizona,8149.769437,Basic,Doctor,Unemployed,F,0,Married,71,28,76,2,Corporate Auto,Offer2,Call Center,340.8,Two-Door Car,Medsize
California,4633.550875,Basic,Bachelor,Employed,F,29105,Married,117,28,31,1,Personal Auto,Offer2,Branch,272.612048,Sports Car,Medsize
Arizona,6678.899026,Extended,Bachelor,Employed,F,47137,Married,84,5,11,5,Personal Auto,Offer4,Agent,161.640052,Four-Door Car,Medsize
Nevada,2222.865016,Basic,College,Unemployed,F,0,Single,62,5,54,1,Corporate Auto,Offer1,Agent,446.4,Two-Door Car,Medsize
Washington,8522.759016,Basic,Doctor,Unemployed,F,0,Married,109,19,2,3,Corporate Auto,Offer1,Call Center,723.786607,SUV,Medsize
Washington,3479.260311,Extended,College,Employed,F,66711,Married,86,25,92,1,Corporate Auto,Offer1,Call Center,366.381387,Two-Door Car,Small
Arizona,2509.508795,Basic,Bachelor,Unemployed,F,0,Single,71,20,48,1,Personal Auto,Offer1,Agent,511.2,Four-Door Car,Small
Washington,3094.320237,Extended,College,Employed,F,20954,Married,78,15,27,1,Special Auto,Offer2,Agent,534.501024,Four-Door Car,Medsize
Nevada,5470.060561,Extended,Bachelor,Employed,F,54507,Married,138,20,11,1,Personal Auto,Offer2,Agent,702.990032,SUV,Medsize
Arizona,7457.344801,Basic,College,Employed,F,43406,Married,187,6,49,1,Personal Auto,Offer3,Agent,897.6,Luxury SUV,Medsize
Arizona,22185.88045,Basic,Master,Employed,F,60426,Single,62,0,97,2,Corporate Auto,Offer1,Call Center,133.284622,Two-Door Car,Medsize
Washington,9470.624437,Extended,College,Employed,F,22514,Married,80,22,96,2,Personal Auto,Offer2,Call Center,203.469143,Four-Door Car,Medsize
Arizona,3548.148767,Extended,Doctor,Employed,F,76114,Married,88,6,97,1,Personal Auto,Offer2,Agent,422.4,Four-Door Car,Medsize
Arizona,13891.67638,Basic,College,Employed,F,70725,Divorced,70,2,0,2,Corporate Auto,Offer2,Web,336,Four-Door Car,Medsize
